episodes,nonstat_scale,seed,be_integrated_rmse,gen2_integrated_rmse,relative_gain,be_bandwidth,gen2_bandwidth
320,2.5,17,0.05776489773760217,0.046179609236871276,0.2005593181062524,24,24
320,2.5,18,0.059239180584956815,0.04949625788554946,0.1644675467013713,24,24
320,2.5,19,0.08967770209745249,0.08768291422236954,0.022243967323284205,8,8
640,0.0,0,0.05577527792493062,0.04096366771533774,0.26555869841703356,24,24
640,0.0,1,0.059669746347379225,0.04473772161066073,0.25024448151310646,24,24
640,0.0,2,0.06157729584012065,0.0490942285694211,0.2027219139845082,24,24
640,0.0,3,0.0688838559618475,0.05829579049495828,0.15370895428318643,24,24
640,0.0,4,0.06288116783195655,0.049568949623602115,0.21170437298381553,24,24
640,0.0,5,0.061812816404868284,0.04852101404134924,0.21503311346402595,24,24
640,0.0,6,0.06728373933754284,0.05417886681596268,0.19477027660185242,24,24
640,0.0,7,0.06825540639947843,0.05468679495189387,0.19879174651999784,24,24
640,0.0,8,0.06483452954192542,0.05081239290433216,0.2162757520824734,24,24
640,0.0,9,0.06825487362387483,0.051197972951292185,0.24990011360326253,24,24
640,0.0,10,0.06709090497858197,0.054852920052047595,0.18240900060062118,24,24
640,0.0,11,0.06253759388601532,0.049939600074345815,0.2014467303400151,24,24
640,0.0,12,0.062134962097311765,0.048385022995221884,0.22129150220701213,24,24
640,0.0,13,0.061968966141476164,0.046108528946715716,0.25594161371920926,24,24
640,0.0,14,0.09951610464336211,0.08640011082946873,0.13179770109468644,12,12
640,0.0,15,0.09123905588552893,0.05520976345427478,0.39488892209118764,16,24
640,0.0,16,0.07108134919458305,0.057161446918254276,0.1958305861390371,24,24
640,0.0,17,0.0631156974992655,0.05115857644626896,0.18944765766290858,24,24
640,0.0,18,0.08126856718041574,0.06544438449445183,0.19471467548867094,24,24
640,0.0,19,0.05935902804792061,0.04279165798950516,0.27910446992226007,24,24
640,0.35,0,0.08986772784456416,0.055893429110875484,0.3780478214877187,16,24
640,0.35,1,0.07459331991846226,0.05813253341803248,0.2206737348387633,16,16
640,0.35,2,0.06473388872855432,0.05375837959416653,0.1695481200026603,24,24
640,0.35,3,0.07075698447451183,0.058705036497531234,0.17032873950870478,24,24
640,0.35,4,0.06170741778309589,0.04995597981822156,0.19043801194503257,24,24
640,0.35,5,0.06042521351138876,0.04724692300076872,0.21809257667142934,24,24
640,0.35,6,0.06788749879612563,0.054726316803088156,0.1938675341768312,24,24
640,0.35,7,0.09319733898283371,0.08023347207545216,0.13910125598939474,12,12
640,0.35,8,0.08828570551009131,0.07528228947785381,0.1472878985007507,16,16
640,0.35,9,0.057802838800836,0.043544839433392164,0.246666074940901,24,24
640,0.35,10,0.06775784554199867,0.05325365755391372,0.21405916720145335,24,24
640,0.35,11,0.05686506390360774,0.042378075741445184,0.2547607822391534,24,24
640,0.35,12,0.06129753208446695,0.046915504663258716,0.23462653278422443,24,24
640,0.35,13,0.0862079064403158,0.06905042183605788,0.19902448989567495,8,8
640,0.35,14,0.06361736014873313,0.04762262397376564,0.25142093506509655,24,24
640,0.35,15,0.0586331565041104,0.04790671372395907,0.18294158833832125,24,24
640,0.35,16,0.06161013370021747,0.047196982670616845,0.2339412392729437,24,24
640,0.35,17,0.10492664838643609,0.0732650554645242,0.301749778619678,16,24
640,0.35,18,0.06843991382565759,0.05292125872922013,0.22674860660943202,24,24
640,0.35,19,0.0648955592567401,0.05070592904340102,0.21865333122721087,24,24
640,0.7,0,0.07997870200339773,0.058041366129749236,0.2742897211899804,12,16
640,0.7,1,0.06074041154955308,0.050750907549209544,0.1644622376684742,24,24
640,0.7,2,0.05620132015439706,0.042839497216181785,0.23774927175211336,24,24
640,0.7,3,0.06075336824064631,0.04840651428950376,0.20322912636277568,24,24
640,0.7,4,0.05762974253117572,0.04554637799569559,0.20967236716255402,24,24
640,0.7,5,0.08618216433655035,0.057770370493310685,0.3296713892249055,16,24
640,0.7,6,0.0514757941028844,0.036598236541378094,0.2890204574944606,24,24
640,0.7,7,0.0607202206024444,0.047739426508466645,0.21378041721829957,24,24
640,0.7,8,0.058323382900829994,0.05008781639737141,0.14120522668347119,24,24
640,0.7,9,0.06293332053879669,0.0511327046133921,0.18750982507159822,24,24
640,0.7,10,0.08320296276341602,0.05802533435080322,0.30260495030933315,16,24
640,0.7,11,0.06127431716446421,0.0505533120529555,0.17496735349547582,24,24
640,0.7,12,0.0813519106716001,0.07033066946580653,0.1354761199190995,16,16
640,0.7,13,0.06163475823523681,0.05216395058004202,0.15366017368070556,24,24
640,0.7,14,0.07430202872898413,0.06404074143814538,0.13810238382947373,24,24
640,0.7,15,0.07325301305773226,0.059093950271304346,0.19328983471668054,24,24
640,0.7,16,0.06297210825594238,0.046871549413158436,0.2556776212310568,24,24
640,0.7,17,0.05885191962613148,0.04801886802776905,0.18407303733134867,24,24
640,0.7,18,0.06491266356659894,0.05105083983480337,0.21354575471354137,24,24
