task,task_label,seed,mismatch_type,mismatch_level,mismatch_metric,method,order,bandwidth_steps,validation_score,t0_rmse,integrated_rmse,runtime_sec
small_pendulum_rich,Small,5,gain,0.1,0.2394802455009044,Gen2,2,8,0.016734905148304436,0.14842359133411598,0.08046857358760916,0.004794458989636041
small_pendulum_rich,Small,5,gain,0.1,0.2394802455009044,CTTDProxy,-1,8,0.01641631705852069,0.08301867177806772,0.05665132806819405,0.002414041999145411
small_pendulum_rich,Small,6,gain,0.1,0.23851437891907862,BE,-1,8,0.0019309407418641002,0.09364805435926793,0.07970477219786805,0.002416457995423116
small_pendulum_rich,Small,6,gain,0.1,0.23851437891907862,Gen2,2,8,0.03204434948321199,0.10120458675496363,0.07649489821364923,0.0048098749975906685
small_pendulum_rich,Small,6,gain,0.1,0.23851437891907862,CTTDProxy,-1,8,0.031191672618833703,0.06878617747529542,0.058431886713147245,0.0024299999931827188
small_pendulum_rich,Small,7,gain,0.1,0.24082033493101537,BE,-1,8,0.001108915664843063,0.13701633896446488,0.0906990200201057,0.002355207994696684
small_pendulum_rich,Small,7,gain,0.1,0.24082033493101537,Gen2,2,6,0.019245848227968113,0.14001643312529766,0.08570796463573982,0.00426379099371843
small_pendulum_rich,Small,7,gain,0.1,0.24082033493101537,CTTDProxy,-1,8,0.019186724965787987,0.10124097966906524,0.06109605427972716,0.0025857500004349276
small_pendulum_rich,Small,8,gain,0.1,0.24451291712899037,BE,-1,8,0.001140702472746536,0.16800508691906682,0.10080226676363709,0.002359707999858074
small_pendulum_rich,Small,8,gain,0.1,0.24451291712899037,Gen2,2,8,0.020371940587966625,0.17938144759922864,0.10122593289118823,0.0043810420029331
small_pendulum_rich,Small,8,gain,0.1,0.24451291712899037,CTTDProxy,-1,8,0.01975219675720239,0.11382204079751254,0.06650141307335872,0.0026824999949894845
small_pendulum_rich,Small,9,gain,0.1,0.23837623415611464,BE,-1,8,0.0007157279541486911,0.10335779837658957,0.06532351014888989,0.003194500008248724
small_pendulum_rich,Small,9,gain,0.1,0.23837623415611464,Gen2,2,8,0.012845992668185466,0.10012140332191655,0.058020572101429045,0.0049626249965513125
small_pendulum_rich,Small,9,gain,0.1,0.23837623415611464,CTTDProxy,-1,8,0.011194886509971348,0.0721492994319108,0.047951642692106056,0.0024758749932516366
small_pendulum_rich,Small,10,gain,0.1,0.23970931769603648,BE,-1,8,0.0012060052000378942,0.18409144146833412,0.10056524383742771,0.007546375010861084
small_pendulum_rich,Small,10,gain,0.1,0.23970931769603648,Gen2,2,8,0.020711422934240286,0.19933924900786554,0.10144393938346309,0.00528291700175032
small_pendulum_rich,Small,10,gain,0.1,0.23970931769603648,CTTDProxy,-1,8,0.019770892246479783,0.09550657524877515,0.05796336076623289,0.00236604199744761
small_pendulum_rich,Small,11,gain,0.1,0.2422587314944907,BE,-1,8,0.0009542285100273979,0.15194126406739727,0.08674102199588604,0.0022238329984247684
small_pendulum_rich,Small,11,gain,0.1,0.2422587314944907,Gen2,2,8,0.01650445224374677,0.16726111781986072,0.08632977523017561,0.004807083998457529
small_pendulum_rich,Small,11,gain,0.1,0.2422587314944907,CTTDProxy,-1,8,0.015279187345065698,0.09355812980314866,0.0649321760965211,0.002457416005199775
small_pendulum_rich,Small,12,gain,0.1,0.23950332775573888,BE,-1,8,0.002468550456512884,0.118143680744451,0.08464862316065738,0.002335833996767178
small_pendulum_rich,Small,12,gain,0.1,0.23950332775573888,Gen2,2,8,0.039703690758139336,0.11997006666887879,0.07830274959816855,0.004722833997220732
small_pendulum_rich,Small,12,gain,0.1,0.23950332775573888,CTTDProxy,-1,8,0.03967061773575171,0.16050326249885657,0.08575793264477682,0.0024332089960807934
small_pendulum_rich,Small,13,gain,0.1,0.24120739027323013,BE,-1,8,0.0007271250914292229,0.1411639162630663,0.08435358524536272,0.0023798329930286855
small_pendulum_rich,Small,13,gain,0.1,0.24120739027323013,Gen2,2,8,0.014987204814738609,0.14969513302822865,0.08180280434869514,0.004438666001078673
small_pendulum_rich,Small,13,gain,0.1,0.24120739027323013,CTTDProxy,-1,8,0.013013445766155445,0.10172752043221836,0.05940598544273605,0.0023255840060301125
small_pendulum_rich,Small,14,gain,0.1,0.2399497226426639,BE,-1,8,0.0020767482218344148,0.08048215205531972,0.06748691743544478,0.0023690419911872596
small_pendulum_rich,Small,14,gain,0.1,0.2399497226426639,Gen2,2,8,0.03618960309730911,0.07672146774716238,0.060140247682187155,0.004908208997221664
small_pendulum_rich,Small,14,gain,0.1,0.2399497226426639,CTTDProxy,-1,8,0.036248209178386524,0.11029646988832555,0.06534645799000967,0.0024400419933954254
small_pendulum_rich,Small,15,gain,0.1,0.24240639918658308,BE,-1,8,0.0007161723570995095,0.1430232249261467,0.0885343428771582,0.0020838750060647726
small_pendulum_rich,Small,15,gain,0.1,0.24240639918658308,Gen2,2,8,0.01151108493742838,0.15653369448640336,0.08837854309936184,0.006850916994153522
small_pendulum_rich,Small,15,gain,0.1,0.24240639918658308,CTTDProxy,-1,8,0.010723508870765662,0.11516235083164639,0.07208806543684886,0.0035124580026604235
small_pendulum_rich,Small,16,gain,0.1,0.24011146159437757,BE,-1,8,0.0012011079028873951,0.1124008363271632,0.08756967794339426,0.00268079100351315
small_pendulum_rich,Small,16,gain,0.1,0.24011146159437757,Gen2,2,8,0.021718166687628434,0.11799376473521146,0.08519495066938658,0.004852875004871748
small_pendulum_rich,Small,16,gain,0.1,0.24011146159437757,CTTDProxy,-1,8,0.01975554635514787,0.1086395615548722,0.06796557579575449,0.002275167003972456
small_pendulum_rich,Small,17,gain,0.1,0.23986708582537558,BE,-1,8,0.0005903618893633668,0.12438317305270083,0.08333530837360818,0.002329625000129454
small_pendulum_rich,Small,17,gain,0.1,0.23986708582537558,Gen2,2,8,0.010601365809808656,0.13398323301015375,0.08081396200485298,0.004718042007880285
small_pendulum_rich,Small,17,gain,0.1,0.23986708582537558,CTTDProxy,-1,8,0.01023134502523698,0.0852151007963601,0.06110765883259752,0.0022367920028045774
small_pendulum_rich,Small,18,gain,0.1,0.23844018158044472,BE,-1,8,0.0015114768180967196,0.13187833737299348,0.08360479240500115,0.002163750003091991
small_pendulum_rich,Small,18,gain,0.1,0.23844018158044472,Gen2,2,8,0.025465088244004678,0.12932948879234926,0.07643260433106241,0.004719083997770213
