task,label,seed,method,order,bandwidth_steps,validation_score,t0_rmse,integrated_rmse,runtime_sec,gain_bias,family,dt,horizon_steps
small_pendulum_rich,Small,20262021,Gen2,2,8,0.05650003818044988,0.18149072093384552,0.10906263262225195,0.013636083000164945,0.0,Small,0.02,168
small_pendulum_rich,Small,20262021,Gen3,3,8,0.059039965850823155,0.1900231721692351,0.11499096241548154,0.014646999999968102,0.0,Small,0.02,168
small_pendulum_rich,Small,20262022,BE,-1,8,0.0006981076472725181,0.14367731846172763,0.11126196093822943,0.006419125000320491,0.0,Small,0.02,168
small_pendulum_rich,Small,20262022,Gen1,1,8,0.030031768686781236,0.16679007127968826,0.11500883327158401,0.012079666999852634,0.0,Small,0.02,168
small_pendulum_rich,Small,20262022,Gen2,2,8,0.03440779528237978,0.12866750955659084,0.09566205051419988,0.012721207999675244,0.0,Small,0.02,168
small_pendulum_rich,Small,20262022,Gen3,3,8,0.036113078090026285,0.13740983118876543,0.10126741426318678,0.013716334000037023,0.0,Small,0.02,168
small_pendulum_rich,Small,20262023,BE,-1,8,0.000447670654144433,0.14191437053246211,0.11897915232490541,0.006470791000083409,0.0,Small,0.02,168
small_pendulum_rich,Small,20262023,Gen1,1,8,0.019653332592570422,0.21632343218908187,0.13249211854611584,0.013976082999761275,0.0,Small,0.02,168
small_pendulum_rich,Small,20262023,Gen2,2,8,0.023177569690951964,0.12753124834370402,0.09906617620255866,0.013483665999956429,0.0,Small,0.02,168
small_pendulum_rich,Small,20262023,Gen3,3,8,0.023903755583433144,0.1353294908662566,0.10573538805949177,0.014968541999678564,0.0,Small,0.02,168
small_pendulum_rich,Small,20262024,BE,-1,8,0.001415025866787429,0.19831961568373774,0.11316091065652953,0.008608291000200552,0.0,Small,0.02,168
small_pendulum_rich,Small,20262024,Gen1,1,8,0.06826602241975477,0.3008788029963953,0.1435242437001668,0.015443875000073604,0.0,Small,0.02,168
small_pendulum_rich,Small,20262024,Gen2,2,8,0.07239008166406141,0.17611848391160356,0.0971044053491985,0.012804584000150498,0.0,Small,0.02,168
small_pendulum_rich,Small,20262024,Gen3,3,8,0.07535654995307511,0.1855887166339329,0.10276720456139667,0.012683333000040875,0.0,Small,0.02,168
small_pendulum_rich,Small,20262025,BE,-1,8,0.0006214029953117907,0.14331766611850907,0.11033208158497426,0.0075951249996251136,0.0,Small,0.02,168
small_pendulum_rich,Small,20262025,Gen1,1,8,0.026158640352321596,0.25365093195319166,0.13786214673622638,0.012911958000131563,0.0,Small,0.02,168
small_pendulum_rich,Small,20262025,Gen2,2,8,0.031894532939346965,0.12216148473499684,0.0929928373439065,0.015207166999971378,0.0,Small,0.02,168
small_pendulum_rich,Small,20262025,Gen3,3,8,0.033425148421082754,0.129425375559674,0.09841469003444692,0.014799875000335305,0.0,Small,0.02,168
small_pendulum_rich,Small,20262026,BE,-1,8,0.0004771812936526593,0.1356024046784677,0.10756565384785076,0.00791395799979,0.0,Small,0.02,168
small_pendulum_rich,Small,20262026,Gen1,1,8,0.021138264800140326,0.20286377784835166,0.12426851117462216,0.012507583000115119,0.0,Small,0.02,168
small_pendulum_rich,Small,20262026,Gen2,2,8,0.024370889443931867,0.11894132566978799,0.08914816012104715,0.014508624999962194,0.0,Small,0.02,168
small_pendulum_rich,Small,20262026,Gen3,3,8,0.02524030922034003,0.126855047042758,0.09485795600229478,0.015306624999993801,0.0,Small,0.02,168
small_pendulum_rich,Small,20262027,BE,-1,8,0.0008792149029963812,0.11327240659171348,0.09746843438284328,0.0061714590001429315,0.0,Small,0.02,168
small_pendulum_rich,Small,20262027,Gen1,1,8,0.036782988693546,0.1933440147966489,0.11455881399758647,0.012879208999947878,0.0,Small,0.02,168
small_pendulum_rich,Small,20262027,Gen2,2,8,0.045153156473062644,0.09531261398890345,0.08166535451493238,0.017062790999716526,0.0,Small,0.02,168
small_pendulum_rich,Small,20262027,Gen3,3,8,0.04614038922312898,0.1024134753400244,0.08688704753700627,0.014153916999930516,0.0,Small,0.02,168
small_pendulum_rich,Small,20262028,BE,-1,8,0.0006844380092417315,0.11901750215540827,0.08946506746212769,0.006471790999967197,0.0,Small,0.02,168
small_pendulum_rich,Small,20262028,Gen1,1,8,0.02720988501894304,0.2341180326903139,0.12324808162026263,0.016780750000179978,0.0,Small,0.02,168
small_pendulum_rich,Small,20262028,Gen2,2,8,0.03407222324806269,0.10028557987500622,0.07362474745994152,0.01583650000020498,0.0,Small,0.02,168
small_pendulum_rich,Small,20262028,Gen3,3,8,0.036159499360688185,0.1065389604375824,0.07831634160198432,0.013107708000006824,0.0,Small,0.02,168
