method,order,bandwidth_steps,validation_score,t0_rmse,integrated_rmse,runtime_sec,family,dt,horizon_steps
BE,-1,24,0.0009572462132437066,0.07911852602943177,0.05536651055262441,0.0022542910010088235,Small,0.06,56
Gen1,1,24,0.015537258751145205,0.05371617001313307,0.035845200440992944,0.006978624995099381,Small,0.06,56
Gen2,2,24,0.01487504857698093,0.0589017076486331,0.04042413622107714,0.004911542011541314,Small,0.06,56
Gen3,3,24,0.015361488653337082,0.06644306986459592,0.044966456578860635,0.005546915999730118,Small,0.06,56
BE,-1,24,0.0006222739704792085,0.08011856050446939,0.06339085545081444,0.0029617079999297857,Small,0.06,56
Gen1,1,24,0.009791985876849022,0.05103233984178974,0.04365212071330798,0.0048532920045545325,Small,0.06,56
Gen2,2,24,0.010168265195038875,0.061638722655964207,0.051740281830942654,0.005287207997753285,Small,0.06,56
Gen3,3,24,0.010821707953304125,0.0689923656185013,0.05494532109838672,0.004732457993668504,Small,0.06,56
BE,-1,24,0.0008420453334462441,0.09741758617661703,0.07575572061837645,0.003469500006758608,Small,0.04,84
Gen1,1,24,0.019629321245077446,0.06723801055198057,0.05252703967436633,0.009590250003384426,Small,0.04,84
Gen2,2,24,0.021389450817537046,0.08681380594834492,0.0627706514201703,0.008697957993717864,Small,0.04,84
Gen3,3,24,0.022837432014524057,0.09803247476519734,0.06946759044466486,0.01079783400928136,Small,0.04,84
BE,-1,24,0.0005240766139488059,0.10486179369329501,0.08834792394091391,0.003803582992986776,Small,0.04,84
Gen1,1,24,0.012178669291979659,0.07291244023312564,0.060757161535138625,0.0072804160008672625,Small,0.04,84
Gen2,2,24,0.01361109769942349,0.09060927440591893,0.0752815168934965,0.007154833001550287,Small,0.04,84
Gen3,3,24,0.014847026331980068,0.10220033845716923,0.08358855350295682,0.0074147499981336296,Small,0.04,84
BE,-1,24,0.0007542053577275359,0.14113726721758527,0.09385535917160891,0.0033826669969130307,Small,0.04,84
Gen1,1,24,0.015619905715928074,0.10137567981166491,0.0658122318846645,0.007572749993414618,Small,0.04,84
Gen2,2,24,0.018943051727269653,0.12966089371711362,0.08257464574597433,0.007785791996866465,Small,0.04,84
